"","user_id","name","screen_name","location","description","followers_count","friends_count","listed_count","created_at","favourites_count","statuses_count","profile_image_url","timestamp"
"1",948796272957325312,"Jack Sargeant AM","JackSargeantAM","Connah's Quay, Wales","Labour AM for Alyn and Deeside jack.sargeant@assembly.wales",2298,83,20,2018-01-04 06:00:34,110,169,"http://pbs.twimg.com/profile_images/964567747853242368/AbGWkR6K_normal.jpg",2018-04-08 04:08:00
"2",946028862852431872,"Mandy Jones AM","MandyJonesAM","North Wales","Aelod Cynulliad / Assembly Member for North Wales. All views expressed here are my own.",284,256,10,2017-12-27 14:43:52,700,270,"http://pbs.twimg.com/profile_images/974335219175223297/oKx4WL1x_normal.jpg",2018-04-08 04:08:00
"3",866941386595209216,"David Melding","DavidMeldingAM","Cardiff, Wales","@WelshConserv.
Shadow Spokesman for Environment & Sustainability, Planning & Housing.
Assembly Member for South Wales Central.",961,850,20,2017-05-23 08:58:28,467,461,"http://pbs.twimg.com/profile_images/866949029904732161/euFbSzOq_normal.jpg",2018-04-08 04:08:00
"4",798544306365755392,"Lynne Neagle #FBPE","lynne_neagle","Torfaen","Labour AM for Torfaen. Chair of @SeneddCYPE Proud European and Remainer. RTs <U+2260> endorsements. Email lynne.neagle@assembly.wales for help",1201,680,27,2016-11-15 15:12:53,1698,3093,"http://pbs.twimg.com/profile_images/906809818718994432/9m36iJwG_normal.jpg",2018-04-08 04:08:00
"5",729991259616587776,"Gareth Bennett AC/AM","GarethBennettAM","South Wales","UKIP Assembly Member for South Wales Central. Tweets by Gareth & team. For casework or media enquiries, contact Gareth.Bennett@Assembly.Wales",592,156,26,2016-05-10 11:07:33,154,547,"http://pbs.twimg.com/profile_images/975724823069511681/LoA9vVl2_normal.jpg",2018-04-08 04:08:00
"6",3869773815,"David Rowlands AC/AM","DavidRowlandsAM","South East Wales","@UKIP Aelod Cynulliad DeCymru.Fy marn I'n unig a geir yma. / Assembly Member for South East Wales. All views expressed here are my own. RTs are not endorsements",1149,508,68,2015-10-05 09:25:00,1558,676,"http://pbs.twimg.com/profile_images/803762983209930752/CKCZahGT_normal.jpg",2018-04-08 04:08:00
"7",3795270447,"Hefin David AC/AM","hef4caerphilly","Caerphilly, Wales","Welsh Labour/ Llafur Cymru/ Assembly Member for Caerphilly/ Aelod Cynulliad dros Caerffili <f0><U+009F><U+008F><U+00B4><f3><U+00A0><U+0081><U+00A7><f3><U+00A0><U+0081><U+00A2><f3><U+00A0><U+0081><U+00B7><f3><U+00A0><U+0081><U+00AC><f3><U+00A0><U+0081><U+00B3><f3><U+00A0><U+0081><U+00BF> https://t.co/GCHiHlRc6s",2410,1360,49,2015-09-27 18:07:09,2268,2602,"http://pbs.twimg.com/profile_images/874210271186780160/hUwWpXET_normal.jpg",2018-04-08 04:08:00
"8",3727330336,"Caroline Jones AC/AM","carolineUKIP","Wales, United Kingdom","@UKIP Aelod Cynulliad / Assembly Member for South West Wales Twitter account managed by Caroline & Team.",1398,290,73,2015-09-21 10:28:14,1544,2227,"http://pbs.twimg.com/profile_images/803707322820362240/P-lwS_7r_normal.jpg",2018-04-08 04:08:00
"9",3308117601,"Dai Lloyd","DaiLloydAM","Swansea/ Abertawe","AC @Plaid_Cymru AM |
Snapchat: dailloydam |
Instagram: dailloyd_am |
https://t.co/b067Cbw7Al |
dai.lloyd@cynulliad.cymru",2522,1524,50,2015-06-04 13:01:12,173,1008,"http://pbs.twimg.com/profile_images/922513305020837889/H11bNFzG_normal.jpg",2018-04-08 04:08:00
"10",2956911832,"Michelle Brown AM","MishBrownAM","North Wales","UKIP Assembly Member for North Wales.",787,11,46,2015-01-02 16:41:58,188,2211,"http://pbs.twimg.com/profile_images/754729677030293504/pQiirjHJ_normal.jpg",2018-04-08 04:08:00
"11",2476761393,"Carwyn Jones AM/AC","AMCarwyn","Bridgend, Wales","Assembly Member for Bridgend. Leader of Welsh Labour. Aelod y Cynulliad dros Ben-y-bont. Arweinydd Llafur Cymru Personal Account/Cyfrif Personol",7990,960,122,2014-04-11 17:58:03,281,3383,"http://pbs.twimg.com/profile_images/909177754603704320/pg1Y8ExB_normal.jpg",2018-04-08 04:08:00
"12",2467530391,"Joyce Watson AM","JoyceWatsonam",NA,"Labour Assembly Member (AM) for Mid & West Wales | Personal Twitter | #welshlabour @welshlabour",1959,664,63,2014-04-28 10:07:41,2587,3905,"http://pbs.twimg.com/profile_images/730041261122531329/Jo7rUZfL_normal.jpg",2018-04-08 04:08:00
"13",1539233137,"Neil Hamilton AC/AM","NeilUKIP","Cardiff, Wales","Leader of @UKIPWales/@UKIPinWales. Mid & West Wales AM. Happily married to @brit_battleaxe. Chief of Staff: @Robin_HC1. Email: Neil.Hamilton@assembly.wales",10414,5185,257,2013-06-22 18:04:05,686,3116,"http://pbs.twimg.com/profile_images/923149035380396032/pFJF3iOk_normal.jpg",2018-04-08 04:08:00
"14",1371848690,"John Griffiths AM","JGriffithsLab","Newport, Wales","Labour AM for Newport East",3050,1955,79,2013-04-22 10:53:53,547,1700,"http://pbs.twimg.com/profile_images/827190130893058050/iRRei93F_normal.jpg",2018-04-08 04:08:00
"15",838551494,"Vikki Howells AM","VikkiHowells","Aberdare, Wales","Welsh Labour Assembly Member for Cynon Valley. Chair of Welsh Assembly Labour Group. vikki.howells@assembly.wales 01685 881388",2695,919,64,2012-09-21 20:54:49,4577,6086,"http://pbs.twimg.com/profile_images/673609392470798336/Uzs34m79_normal.jpg",2018-04-08 04:08:00
"16",486596730,"Ann Jones AM","ann_jonesam","Rhyl, Wales","Proud Member for the Vale of Clwyd & Deputy Presiding Officer for the National Assembly for Wales. <f0><U+009F><U+008F><U+00B4><f3><U+00A0><U+0081><U+00A7><f3><U+00A0><U+0081><U+00A2><f3><U+00A0><U+0081><U+00B7><f3><U+00A0><U+0081><U+00AC><f3><U+00A0><U+0081><U+00B3><f3><U+00A0><U+0081><U+00BF>",3556,1187,92,2012-02-08 13:15:48,1722,6416,"http://pbs.twimg.com/profile_images/1881352237/ann_face_close_normal.jpg",2018-04-08 04:08:00
"17",461982001,"David Rees","DavidReesAM","Aberavon, Wales","Assembly Member for Aberavon - Tweeting in a personal capacity",3263,827,100,2012-01-12 12:32:26,3307,7165,"http://pbs.twimg.com/profile_images/730049399242534912/JiLLrwIg_normal.jpg",2018-04-08 04:08:00
"18",389121502,"Neil McEvoy AM","neiljmcevoy","Cardiff","Sovereignist, Plaid supporting S Wales Central Assembly Member. Chair Assembly Boxing Cross Party Group. neil.mcevoy@cynulliad.cymru neil.mcevoy@assembly.wales",7294,5578,142,2011-10-11 22:04:57,3954,50185,"http://pbs.twimg.com/profile_images/728715316134608896/Qw-ppFuG_normal.jpg",2018-04-08 04:08:00
