,user_id,name,screen_name,location,description,followers_count,friends_count,listed_count,created_at,favourites_count,statuses_count,profile_image_url,timestamp,xuser_id
1,9.48796E+17,Jack Sargeant AM,JackSargeantAM,"Connah's Quay, Wales",Labour AM for Alyn and Deeside | Email: jack.sargeant@assembly.wales,2325,84,20,04/01/2018 06:00,112,182,http://pbs.twimg.com/profile_images/964567747853242368/AbGWkR6K_normal.jpg,22/04/2018 02:34,x948796272957325312
2,9.46029E+17,Mandy Jones AM,MandyJonesAM,North Wales | Cardiff Bay ,Aelod Cynulliad / Assembly Member for North Wales. All views expressed here are my own.,289,257,10,27/12/2017 14:43,710,277,http://pbs.twimg.com/profile_images/974335219175223297/oKx4WL1x_normal.jpg,22/04/2018 02:34,x946028862852431873
3,8.66941E+17,David Melding,DavidMeldingAM,"Cardiff, Wales","@WelshConserv.
Shadow Spokesman for Environment & Sustainability, Planning & Housing.
Assembly Member for South Wales Central.",980,853,20,23/05/2017 08:58,483,477,http://pbs.twimg.com/profile_images/866949029904732161/euFbSzOq_normal.jpg,22/04/2018 02:34,x866941386595209216
4,7.98544E+17,Lynne Neagle #FBPE,lynne_neagle,Torfaen,Labour AM for Torfaen. Chair of @SeneddCYPE Proud European and Remainer. RTs <U+2260> endorsements. Email lynne.neagle@assembly.wales for help,1220,685,25,15/11/2016 15:12,1791,3235,http://pbs.twimg.com/profile_images/906809818718994432/9m36iJwG_normal.jpg,22/04/2018 02:34,x798544306365755392
5,7.29991E+17,Gareth Bennett AC/AM,GarethBennettAM,South Wales,"UKIP Assembly Member for South Wales Central. Tweets by Gareth & team. For casework or media enquiries, contact Gareth.Bennett@Assembly.Wales",602,156,26,10/05/2016 11:07,155,551,http://pbs.twimg.com/profile_images/975724823069511681/LoA9vVl2_normal.jpg,22/04/2018 02:34,x729991259616587776
6,3869773815,David Rowlands AC/AM,DavidRowlandsAM,South East Wales,@UKIP Aelod Cynulliad DeCymru.Fy marn I'n unig a geir yma. / Assembly Member for South East Wales. All views expressed here are my own. RTs are not endorsements,1144,507,67,05/10/2015 09:25,1558,676,http://pbs.twimg.com/profile_images/803762983209930752/CKCZahGT_normal.jpg,22/04/2018 02:34,x3869773815
7,3795270447,Hefin David AC/AM,hef4caerphilly,"Caerphilly, Wales ",Welsh Labour/ Llafur Cymru/ Assembly Member for Caerphilly/ Aelod Cynulliad dros Caerffili <f0><U+009F><U+008F><U+00B4><f3><U+00A0><U+0081><U+00A7><f3><U+00A0><U+0081><U+00A2><f3><U+00A0><U+0081><U+00B7><f3><U+00A0><U+0081><U+00AC><f3><U+00A0><U+0081><U+00B3><f3><U+00A0><U+0081><U+00BF> https://t.co/GCHiHlRc6s,2430,1366,48,27/09/2015 18:07,2296,2639,http://pbs.twimg.com/profile_images/874210271186780160/hUwWpXET_normal.jpg,22/04/2018 02:34,x3795270447
8,3727330336,Caroline Jones AC/AM,carolineUKIP,"Wales, United Kingdom",@UKIP Aelod Cynulliad / Assembly Member for South West Wales Twitter account managed by Caroline & Team.,1407,291,72,21/09/2015 10:28,1551,2239,http://pbs.twimg.com/profile_images/803707322820362240/P-lwS_7r_normal.jpg,22/04/2018 02:34,x3727330336
9,3308117601,Dai Lloyd,DaiLloydAM,Swansea/ Abertawe,"AC @Plaid_Cymru AM |
Snapchat: dailloydam |
Instagram: dailloyd_am |
https://t.co/b067Cbw7Al |
dai.lloyd@cynulliad.cymru",2552,1521,50,04/06/2015 13:01,182,1028,http://pbs.twimg.com/profile_images/922513305020837889/H11bNFzG_normal.jpg,22/04/2018 02:34,x3308117601
10,2956911832,Michelle Brown AM,MishBrownAM,North Wales,UKIP Assembly Member for North Wales.,789,14,46,02/01/2015 16:41,188,2211,http://pbs.twimg.com/profile_images/754729677030293504/pQiirjHJ_normal.jpg,22/04/2018 02:34,x2956911832
11,2476761393,Carwyn Jones AM/AC,AMCarwyn,"Bridgend, Wales",Assembly Member for Bridgend. Leader of Welsh Labour. Aelod y Cynulliad dros Ben-y-bont. Arweinydd Llafur Cymru Personal Account/Cyfrif Personol,8064,957,121,11/04/2014 17:58,282,3384,http://pbs.twimg.com/profile_images/909177754603704320/pg1Y8ExB_normal.jpg,22/04/2018 02:34,x2476761393
12,2467530391,Joyce Watson AM,JoyceWatsonam,,Labour Assembly Member (AM) for Mid & West Wales | Personal Twitter | #welshlabour @welshlabour,1982,660,66,28/04/2014 10:07,2644,3979,http://pbs.twimg.com/profile_images/730041261122531329/Jo7rUZfL_normal.jpg,22/04/2018 02:34,x2467530391
13,1539233137,Neil Hamilton AC/AM,NeilUKIP,"Cardiff, Wales",Leader of @UKIPWales/@UKIPinWales. Mid & West Wales AM. Happily married to @brit_battleaxe. Chief of Staff: @Robin_HC1. Email: Neil.Hamilton@assembly.wales,10438,5178,255,22/06/2013 18:04,693,3139,http://pbs.twimg.com/profile_images/923149035380396032/pFJF3iOk_normal.jpg,22/04/2018 02:34,x1539233137
14,1371848690,John Griffiths AM,JGriffithsLab,"Newport, Wales",Labour AM for Newport East,3057,1955,78,22/04/2013 10:53,548,1714,http://pbs.twimg.com/profile_images/827190130893058050/iRRei93F_normal.jpg,22/04/2018 02:34,x1371848690
15,838551494,Vikki Howells AM,VikkiHowells,"Aberdare, Wales",Welsh Labour Assembly Member for Cynon Valley. Chair of Welsh Assembly Labour Group. vikki.howells@assembly.wales 01685 881388,2721,927,63,21/09/2012 20:54,4615,6120,http://pbs.twimg.com/profile_images/673609392470798336/Uzs34m79_normal.jpg,22/04/2018 02:34,x838551494
16,486596730,Ann Jones AM,ann_jonesam,"Rhyl, Wales",Proud Member for the Vale of Clwyd & Deputy Presiding Officer for the National Assembly for Wales. <f0><U+009F><U+008F><U+00B4><f3><U+00A0><U+0081><U+00A7><f3><U+00A0><U+0081><U+00A2><f3><U+00A0><U+0081><U+00B7><f3><U+00A0><U+0081><U+00AC><f3><U+00A0><U+0081><U+00B3><f3><U+00A0><U+0081><U+00BF>,3571,1193,91,08/02/2012 13:15,1775,6491,http://pbs.twimg.com/profile_images/1881352237/ann_face_close_normal.jpg,22/04/2018 02:34,x486596730
17,461982001,David Rees,DavidReesAM,"Aberavon, Wales",Assembly Member for Aberavon - Tweeting in a personal capacity,3276,828,99,12/01/2012 12:32,3402,7324,http://pbs.twimg.com/profile_images/730049399242534912/JiLLrwIg_normal.jpg,22/04/2018 02:34,x461982001
18,389121502,Neil McEvoy AM,neiljmcevoy,Cardiff,"Sovereignist, Plaid supporting S Wales Central Assembly Member. Chair Assembly Boxing Cross Party Group. neil.mcevoy@cynulliad.cymru neil.mcevoy@assembly.wales",7501,6293,140,11/10/2011 22:04,4079,50837,http://pbs.twimg.com/profile_images/728715316134608896/Qw-ppFuG_normal.jpg,22/04/2018 02:34,x389121502
19,377424210,Ken Skates AM,KenSkatesAM,,Welsh Labour AM for Clwyd South & @wgcs_economy. For constituency matters email ken.skates@assembly.wales. Also on Facebook: https://t.co/8Ya5s2AWoO,8772,1876,132,21/09/2011 15:14,536,4621,http://pbs.twimg.com/profile_images/802131126852718592/rJVJWM94_normal.jpg,22/04/2018 02:34,x377424210
