"","question_no","name","tabled_dt","response_name","response_dt","question","answer","welsh","withdrawn","number"
"1","WAQ70220","Simon Thomas",2016-05-11,"First Minister",2016-05-24,"Will the First Minister provide an update on abolishing the Cleddau Bridge tolls? W","Officials are currently finalising a review into this issue. A decision on the future of the tolls will be made on the basis of the findings.",TRUE,FALSE,1
"2","WAQ70319","Andrew R.T. Davies",2016-05-26,"Cabinet Secretary for Finance and Local Government",2016-06-08,"How many businesses and individuals have utilised the Skills for Employers and Employees project?","The £16. 2 million Skills for Employers and Employees project, supported with over £10 million of EU funds, got underway in February 2016 and will run until the end of 2018. Led by Coleg Cambria, in partnership with Grwp Llandrillo Menai and WEA YMCA CC Cymru, the project is expected to train some 7,000 employed workers across 500 businesses in North Wales. The Welsh European Funding Office expects to receive output data as part of the sponsor’s expenditure claim at the end of June and I will write to the Assembly Member following this.",FALSE,FALSE,2
"3","WAQ70320","Andrew R.T. Davies",2016-05-26,"Cabinet Secretary for Health, Well-being and Sport",2016-06-02,"What is the Welsh Government doing to raise awareness of the dangers of underage drinking in Wales?","We continue to promote an alcohol free childhood. Results from the 2013/14 health behaviour in school-aged children study show that rates of drinking among adolescents in Wales have continued to decline sharply and are currently at their lowest rates since the survey began in 1986, and are substantially below their peak around 1996. We hope to see this trend continue. Our substance misuse delivery plan 2016-18 sets out the actions we are taking to raise awareness of the dangers of underage drinking in Wales, including guidance and education campaigns to raise awareness of alcohol related harm. The Welsh Government continues to provide over £2m to the all Wales schools core liaison programme which operates in 100% of schools across Wales and delivers substance misuse education to children and young people at all key stages of the school curriculum. In addition, £2. 75m of the substance misuse action fund is ring fenced specifically for children and young people's services. These have enabled children and young people to access a range of prevention and treatment services across the country.",FALSE,FALSE,3
"4","WAQ70321","Andrew R.T. Davies",2016-05-27,"Cabinet Secretary for Economy and Infrastructure",2016-06-08,"Will the Minister confirm whether the Welsh Government provided any funding for the resurfacing of the A472 bypass at Church Village and, if so, how much did the project cost?","The A473 is the road that bypasses Church Village. We have not provided any funding to the A472 or the A473 for resurfacing. Resurfacing is the responsibility of the local authority under its maintenance functions.",FALSE,FALSE,4
"5","WAQ70322","Andrew R.T. Davies",2016-05-27,"First Minister",2016-06-08,"Further to the answer to WAQ70252, will the First Minister confirm the staffing costs spent on the Delivery Unit during the Fourth Assembly?","All non-staff costs of the Delivery Unit were related to running of the Unit. Staffing and running costs are a matter for the Permanent Secretary and I have asked him to write to you.",FALSE,FALSE,5
"6","WAQ70323","Andrew R.T. Davies",2016-05-27,"First Minister",2016-06-08,"Will the First Minister confirm the number of full-time equivalent staff that worked in the Delivery Unit for each year of the Fourth Assembly?","All non-staff costs of the Delivery Unit were related to running of the Unit. Staffing and running costs are a matter for the Permanent Secretary and I have asked him to write to you.",FALSE,FALSE,6
"7","WAQ70324","Andrew R.T. Davies",2016-05-27,"First Minister",2016-06-08,"Further to the answer to WAQ70252, what other costs, beyond staffing costs, did the Delivery Unit incur over the course of the Fourth Assembly? The First Minister (Carwyn Jones):Carwyn Jones: All non-staff costs of the Delivery Unit were related to running of the Unit. Staffing and running costs are a matter for the Permanent Secretary and I have asked him to write to you.","All non-staff costs of the Delivery Unit were related to running of the Unit. Staffing and running costs are a matter for the Permanent Secretary and I have asked him to write to you.",FALSE,FALSE,7
"8","WAQ70327","Andrew R.T. Davies",2016-05-31,"Cabinet Secretary for Health, Well-being and Sport",2016-06-10,"Will the Minister provide an update on progress towards developing online electronic patient records across the Welsh NHS?","Electronic records are used in the majority of care settings. All GP practices in Wales use electronic records to store information about patients. A summary record is available electronically for use by out-of-hours doctors and in some unscheduled care settings. Further access across other care settings is planned for later this year. In hospitals, various IT systems collect and store patient information. The electronic Welsh Care Records Service is being developed to build a fully integrated record from these distributed sources and reduce the need for paper notes. This is scheduled to be introduced later this year with further roll-out to follow. Choose Pharmacy is an electronic platform for Community Pharmacists to be able to record patient consultations and view information from other healthcare settings. Within that, the Common Ailments Service allows people to get medical advice and free treatment for a range of common illnesses from their pharmacist instead of making an appointment to see their GP; and Discharge Medicines Review allows patients recently discharged from hospital to give their pharmacist access to their electronic discharge summary. Following a successful pilot I announced our plans for a national roll out of 'Choose Pharmacy' earlier this year.",FALSE,FALSE,8
"9","WAQ70328","Russell George",2016-05-31,"Cabinet Secretary for Economy and Infrastructure",2016-06-08,"What percentage of the Newtown bypass budget comes from EU funding?","The construction of Newtown bypass is programmed to be complete towards the end of 2018. The project has not received any EU funding.",FALSE,FALSE,9
"10","WAQ70329","Russell George",2016-05-31,"Cabinet Secretary for Economy and Infrastructure",2016-06-08,"Will the Minister confirm when he anticipates the construction phase of the Newtown Bypass to be completed?","The construction of Newtown bypass is programmed to be complete towards the end of 2018. The project has not received any EU funding.",FALSE,FALSE,10
"11","WAQ70330","Mark Isherwood",2016-06-01,"Cabinet Secretary for Economy and Infrastructure",2016-06-08,"Will the Minister provide the passenger counts for the Wales and Border Franchise which Arriva Trains Wales share with the Welsh Government?","The Welsh Government will provide information to all requests where possible, subject to any commercial in confidence restrictions. Information on passenger footfall for all stations in Wales is also available from the Office of Rail and Road.",FALSE,FALSE,11
"12","WAQ70331","Mark Isherwood",2016-06-01,"Cabinet Secretary for Economy and Infrastructure",2016-06-08,"What consideration is the Welsh Government giving to requiring trains to be fitted out with automatic passenger counts?","The next Wales and Borders franchise will specify high quality rolling stock that may include the fitment of automatic passenger counting equipment.",FALSE,FALSE,12
"13","WAQ70332","Mark Isherwood",2016-06-01,"Cabinet Secretary for Economy and Infrastructure",2016-06-08,"Will the Minister provide a progress report regarding the leaf fall timetable for rail services which is currently with the Welsh Government for a decision?","The Welsh Government has received a request from Arriva Trains Wales (ATW) for a leaf-fall timetable for rail services on the Wrexham-Bidston line. My officials have requested further information, including a demonstration of stakeholder support, prior to any decision being made.",FALSE,FALSE,13
"14","WAQ70333","Mark Isherwood",2016-06-01,"Cabinet Secretary for Economy and Infrastructure",2016-06-08,"Given that the pre-qualification process for the next Wales and Border Franchise should be starting imminently, what is the Welsh Government's position on the calls from rail user groups for two trains per hour on the Wrexham Bidston route, starting earlier and continuing into the evening, within the franchise specification for 2018?","The Wrexham to Bidston service is part of Wales and Borders franchise and there are no plans to re-map the service to another franchise. Welsh Government and Merseytravel jointly commissioned work to consider the case for increasing frequency on the line which will be considered when developing the specification of the next franchise.",FALSE,FALSE,14
"15","WAQ70334","Mark Isherwood",2016-06-01,"Cabinet Secretary for Economy and Infrastructure",2016-06-08,"What is the Welsh Government's position regarding a transfer of responsibility for the Wrexham Bidston Rail Service to Mersey Rail?","The Wrexham to Bidston service is part of Wales and Borders franchise and there are no plans to re-map the service to another franchise. Welsh Government and Merseytravel jointly commissioned work to consider the case for increasing frequency on the line which will be considered when developing the specification of the next franchise.",FALSE,FALSE,15
"16","WAQ70335","Andrew R.T. Davies",2016-06-01,"First Minister",2016-06-08,"Will the First Minister confirm the number of ministerial cars contained within the Government Car Service, as well as their make, model and age?","The information is shown below:",FALSE,FALSE,16
"17","WAQ70221","Simon Thomas",2016-05-11,"First Minister",2016-05-24,"Will the First Minister make a statement on the future of paediatric services at Withybush General Hospital? W","Hywel Dda University Health Board continuously monitors all services it provides, including paediatric services to ensure that they are safe and sustainable, comply with national clinical standards and result in the best possible outcomes for patients. This includes identifying where any improvements may be made to services. Going forward, the health board has been clear that Withybush Hospital will continue to play an important role in the provision of paediatric services for people in Pembrokeshire.",TRUE,FALSE,17
"18","WAQ70229","Janet Finch-Saunders",2016-05-16,"First Minister",2016-05-24,"Will the First Minister provide an explanation as to why Betsi Cadwaladr University Health Board are currently unable to meet the Welsh Government recommended timescales for orthopaedic services?","We are aware the NHS in Wales is under pressure, including in North Wales with increases seen in demand for certain services based on lifestyle and the growing life expectancy of the population. That is why we have established a clinician-led planned care programme to transform the way services are planned and delivered for key specialties, including orthopaedics. We expect all health boards, including Betsi Cadwaladr UHB to work closely with the programme to improve the way services are delivered. Over the last 12 months, the number of people being referred for orthopaedic appointments and treatment in Betsi Cadwaladr UHB has increased by nearly 350 per month compared to the previous year. We expect the health board to ensure, through their agreed plan to have sufficient capacity to enable patients to be seen in the right setting at the right time by the right person. I am aware that Betsi Cadwaladr UHB runs a musculoskeletal triage service to ensure only those patients that require surgery, or a consultant’s opinion, end up on the waiting list.",FALSE,FALSE,18
"19","WAQ70230","Janet Finch-Saunders",2016-05-16,"First Minister",2016-05-24,"Will the First Minister outline his intentions for local government reorganisation for the fifth Assembly term?","A statement on our intentions for local government reform will be made in due course.",FALSE,FALSE,19
"20","WAQ70231","Janet Finch-Saunders",2016-05-16,"First Minister",2016-05-24,"Will the First Minister outline his intentions for future action to prevent the mass harvesting of razor clams from sea beds across Wales?","Hand gathering of shellfish (including razor clams), on beaches such as Llanfairfechan, is not restricted as regards the quantities that may be collected. We do not have any evidence that such activity represents a significant threat to the stock of razor clams around the Welsh coast, nor to the ecosystem which they inhabit, nor to other environmental features that we might wish or need to protect. On that basis, we do not currently intend to regulate this activity. Any commercial fishing for razor clams using an electrical “pulse trawl” from a boat is currently prohibited under existing EU fisheries legislation. The European Commission has recently proposed a revision to that legislation which would essentially maintain the prohibition, but which would, in theory allow the possible use of such techniques, if the interested Member States in a given sea area and the Commission were to agree to it. Although, that draft legislation has yet to be agreed, it seems to provide a reasonable basis for the management of such possible fisheries.",FALSE,FALSE,20
"21","WAQ70234","Janet Finch-Saunders",2016-05-16,"First Minister",2016-05-24,"Will the First Minister provide an update on the work of the Welsh Government with Gwydir Castle and relevant bodies, including Conwy County Borough Council and Cadw, to address the flooding problems experienced by the castle?","NRW will be reviewing the performance of the current Conwy Valley flood alleviation scheme and the future management of flood risk within the valley; this will include the Gwydir Castle area. The focus will be on the current defences and embankment and will allow NRW to model changes to the current defences and what impact this may have on water levels upstream at places like Llanrwst, Gwydir Castle and Gwydir Road. This modelling will also allow for different management scenarios to be tested to understand the impacts. NRW will shortly be appointing consultants to carry out this work which is expected to take approximately 9 months.",FALSE,FALSE,21
"22","WAQ70235","Kirsty Williams",2016-05-16,NA,NA,"Will the First Minister make a statement on the impact on rallying events in Wales given Natural Resources Wales proposals to substantially increase fees? WITHDRAWN","To be answered by: First Minister",FALSE,TRUE,22
"23","WAQ70236","Kirsty Williams",2016-05-16,NA,NA,"What discussions has the First Minister had with his counterpart in the UK Government on restricting the import of cheap inferior coal? WITHDRAWN","To be answered by: First Minister",FALSE,TRUE,23
"24","WAQ70240","Andrew R.T. Davies",2016-05-18,"First Minister",2016-05-27,"Will the First Minister make a statement regarding the Welsh Government's priorities in relation to the St Athan aerospace enterprise zone, with particular reference to how much money has been made available to the Aerospace Board to promote the sector in this area?","The Cardiff Airport and St Athan Enterprise Zone prioritises Aerospace, Defence and the core cross cutting skills associated with the advanced manufacturing and ICT sectors, as exemplified by the recent Aston Martin investment. Priorities for the Zone are identified by the Board and are set out in full at http://businesswales. gov. wales/enterprisezones/enterprise-zone-locations/st-athan-cardiff-airport/. Each Enterprise Zone board has a dedicated budget for 2016/17 and all zones benefit from the full range of departmental resources and marketing activity.",FALSE,FALSE,24
