"","motion_no","title","proposed_by","tabled_dt","debate_dt","motion_text"
"1","NDM6020","NDM6020 - Member Debates","Eluned Morgan",2016-06-02,2016-06-02,"To propose that the National Assembly for Wales:Believes that Wales would be stronger, safer and more prosperous if it were to remain a part of the European Union."
"2","NDM6021","NDM6021 - Assembly Debate","Paul Davies",2016-06-08,2016-06-08,"To propose that the National Assembly for Wales:1. Notes the immense achievement of the Welsh national football team in participating in the current Euro 2016 championships in France.2. Recognises the role Wales's involvement in the tournament could play in encouraging participation in sport, improving public health levels and creating an ongoing legacy for our elite athletes.3. Expresses concern at the findings of the recent Welsh Government Health Survey, which emphasised the scale of the public health challenges facing Wales and identified that 24 per cent of adults are classified as obese and 59 per cent of adults classified as overweight or obese.4. Believes that the Welsh Government must work with governing bodies and key partners to utilise events such as Wales's qualification to, and participation in, the Euro 2016 finals, to improve public health and inspire greater participation in physical activity."
"3","NDM6022","NDM6022 - Assembly Debate","Simon Thomas",2016-06-08,2016-06-08,"To propose that the National Assembly for Wales: 1. Notes the publication of the Wales Bill;2. Regrets the omission of the devolution of policing;3. Regrets the failure to establish a distinct or separate legal jurisdiction; and4. Regrets the lost opportunity to devolve the administration of justice."
"4","NDM6023","NDM6023 - Assembly Debate","Elin Jones",2016-06-08,2016-06-08,"The National Assembly for Wales, in accordance with Standing Order 16.1:Establishes an Interim Committee on Constitutional and Legislative Affairs to carry out the functions of the responsible committee set out in Standing Order 21 and to consider any other constitutional, legislative or governmental matter within or relating to the competence of the Assembly or the Welsh Ministers, including the quality of legislation."
"5","NDM6024","NDM6024 - Short Debate","Llyr Gruffydd",2016-06-08,2016-06-08,"Short Debate"
"6","NDM6025","NDM6025 - Government Debate","Carwyn Jones",2016-06-14,2016-06-14,"To propose that the National Assembly for Wales, in accordance with Standing Order 9.1, agrees to the First Minister's recommendation to Her Majesty to appoint Mick Antoniw AM as Counsel General."
"7","NDM6026","NDM6026 - Member Debates","David Melding",2016-06-15,2016-06-15,"To propose that the National Assembly for Wales:Believes that the Welsh Government should examine ways to strengthen inter-departmental working to improve outcomes for looked after children."
"8","NDM6027","NDM6027 - Member Debates","Bethan Sayed",2016-06-15,2016-06-15,"To propose that the National Assembly for Wales:1. Regrets that the amount of money spent by the BBC on programmes for Wales in English has fallen by 25 per cent in the last decade.2. Believes BBC Wales has a vital role to play in reflecting the lives, aspirations and challenges of the people of Wales.3. Notes Lord Hall's admission that the funding for English language content made in Wales for a Welsh audience has dropped to unsustainable levels, and therefore calls upon the BBC to outline in detail its spending commitments to Wales in the near and further future."
"9","NDM6028","NDM6028 - Assembly Debate","Elin Jones",2016-06-15,2016-06-15,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.3, elects:(i) Huw Irranca-Davies (Welsh Labour), Dafydd Elis-Thomas (Plaid Cymru), David Melding (Welsh Conservatives) and Michelle Brown (United Kingdom Independence Party) as members of the Interim Committee on Constitutional and Legislative Affairs; and(ii) David Melding as Chair of the Interim Committee on Constitutional and Legislative Affairs."
"10","NDM6029","NDM6029 - Assembly Debate","Simon Thomas",2016-06-15,2016-06-15,"To propose that the National Assembly for Wales:1. Notes the challenges to the health service in looking after an older population.2. Calls on the Welsh Government to:a) proceed with greater integration between health and social care; andb) increase the amount of GPs, with a focus on recruiting to rural and deprived communities."
"11","NDM6030","NDM6030 - Assembly Debate","Neil Hamilton",2016-06-15,2016-06-15,"To propose that the National Assembly for Wales:Believes that Wales would be stronger, safer and more prosperous if it were to leave the European Union."
"12","NDM6031","NDM6031 - Assembly Debate","Elin Jones",2016-06-15,2016-06-15,"The National Assembly for Wales, in accordance with Standing Order 16.1:1. Establishes a Finance Committee to carry out the functions of the responsible committee set out in Standing Order 19; the functions of the responsible committee set out in Standing Orders 18.10 and 18.11; and consider any other matter relating to the Welsh Consolidated Fund.2. Establishes a Public Accounts Committee to carry out the functions set out in Standing Orders 18.2 and 18.3 and consider any other matter that relates to the economy, efficiency and effectiveness with which resources are employed in the discharge of public functions in Wales."
"13","NDM6032","NDM6032 - Assembly Debate","Paul Davies",2016-06-15,2016-06-15,"To propose that the National Assembly for Wales:1. Recognises the role that local government plays in delivering public services to communities across Wales. 2. Notes with concern the uncertainty that the lack of clarity regarding local government reform is having on the delivery of effective services.3. Acknowledges that more has to be done to address voter apathy in Wales given that, in the 2012 local government elections, overall turnout in Wales was low, at an average of 38.9 per cent, which was a 4 per cent drop from the previous local election turnout in 2008.4. Calls on the Welsh Government to outline a provisional timetable for its planned reforms of Welsh local authorities, and to engage in a robust consultation process."
"14","NDM6033","NDM6033 - Short Debate","Julie Morgan",2016-06-15,2016-06-15,"Should I stay or should I go? What factors have influenced public opinion over the EU referendum campaign?"
"15","NDM6034","NDM6034 - Assembly Debate","Elin Jones",2016-06-21,2016-06-21,"The National Assembly for Wales, in accordance with Standing Order 16.1 establishes a Children, Young People and Education Committee to examine legislation and hold the Welsh Government to account by scrutinising its expenditure, administration and policy matters, encompassing (but not restricted to): the education, health and well-being of the children and young people of Wales, including their social care."
"16","NDM6035","NDM6035 - Assembly Debate","Elin Jones",2016-06-21,2016-06-21,"The National Assembly for Wales, in accordance with Standing Order 16.1 establishes a Climate Change, Environment and Rural Affairs Committeeto examine legislation and hold the Welsh Government to account by scrutinising expenditure, administration and policy matters, encompassing (but not restricted to): climate change; energy; natural resources management; planning; animal welfare and agriculture."
"17","NDM6036","NDM6036 - Assembly Debate","Elin Jones",2016-06-21,2016-06-21,"The National Assembly for Wales, in accordance with Standing Order 16.1 establishes a Culture, Welsh Language and Communications Committee to examine legislation and hold the Welsh Government to account by scrutinising expenditure, administration and policy matters, encompassing (but not restricted to): culture; the arts; historic environment; Welsh language; communications; broadcasting and the media."
"18","NDM6037","NDM6037 - Assembly Debate","Elin Jones",2016-06-21,2016-06-21,"The National Assembly for Wales, in accordance with Standing Order 16.1 establishes an Economy, Infrastructure and Skills Committeeto examine legislation and hold the Welsh Government to account by scrutinising expenditure, administration and policy matters, encompassing (but not restricted to): economic development; transport; infrastructure; employment; skills; and research and development, including technology and science."
"19","NDM6038","NDM6038 - Assembly Debate","Elin Jones",2016-06-21,2016-06-21,"The National Assembly for Wales, in accordance with Standing Order 16.1 establishes an Equality, Local Government and Communities Committeeto examine legislation and hold the Welsh Government to account by scrutinising expenditure, administration and policy matters, encompassing (but not restricted to): local government; housing, community regeneration, cohesion and safety; tackling poverty; equality of opportunity and human rights."
"20","NDM6039","NDM6039 - Assembly Debate","Elin Jones",2016-06-21,2016-06-21,"The National Assembly for Wales, in accordance with Standing Order 16.1 establishes a Health, Social Care and Sport Committee to examine legislation and hold the Welsh Government to account by scrutinising expenditure, administration and policy matters, encompassing (but not restricted to): the physical, mental and public health and well-being of the people of Wales, including the social care system."
"21","NDM6040","NDM6040 - Assembly Debate","Elin Jones",2016-06-21,2016-06-21,"The National Assembly for Wales, in accordance with Standing Order 16.1 establishes a Reserve Policy and Legislation Committee to consider any matter referred to it by the Business Committee."
"22","NDM6041","NDM6041 - Assembly Debate","Elin Jones",2016-06-21,2016-06-21,"The National Assembly for Wales, in accordance with Standing Order 16.1 establishes a Petitions Committee to carry out the functions of the responsible committee set out in Standing Order 23."
"23","NDM6042","NDM6042 - Assembly Debate","Elin Jones",2016-06-21,2016-06-21,"The National Assembly for Wales, in accordance with Standing Order 16.1 establishes a Committee for the Scrutiny of the First Minister to scrutinise the First Minister on any matter relevant to the exercise of the functions of the Welsh Government."
"24","NDM6043","NDM6043 - Assembly Debate","Elin Jones",2016-06-21,2016-06-21,"The National Assembly for Wales, in accordance with Standing Order 16.1 establishes a Standards of Conduct Committee to carry out the functions of the responsible committee set out in Standing Order 22."
"25","NDM6044","NDM6044 - Assembly Debate","Elin Jones",2016-06-21,2016-06-21,"The National Assembly for Wales, in accordance with Standing Order 16.3, agrees that the Interim Committee on Constitutional and Legislative Affairs, established on 15 June 2016, is retitled the Constitutional and Legislative Affairs Committee. Its remit is to carry out the functions of the responsible committee set out in Standing Order 21 and to consider any other constitutional, legislative or governmental matter within or relating to the competence of the Assembly or the Welsh Ministers, including the quality of legislation."
"26","NDM6045","NDM6045 - Government Debate","Jane Hutt",2016-06-21,2016-06-21,"To propose that the National Assembly for Wales:Notes the outcome of the referendum on the UK's membership of the European Union."
"27","NDM6046","NDM6046 - Government Debate","Jane Hutt",2016-06-21,2016-06-21,"To propose that the National Assembly for Wales, in accordance with Standing Order 20.30, approves the First Supplementary Budget for the financial year 2016-17 laid in the Table Office and emailed to Assembly Members on Tuesday, 21 June 2016.Footnote:In accordance with the relevant provisions contained in the Government of Wales Act 2006 and Standing Order 20, the Supplementary Budget comprises the following information:"
"28","NDM6047","NDM6047 - Assembly Debate","Elin Jones",2016-06-21,2016-06-21,"To propose that the National Assembly for Wales, in accordance with Standing Order 33.2:1. Considers the Report of the Business Committee 'Amending Standing Orders: Standing Order 17 – Operation of Committees' laid in the Table Office on 21 June 2016; and 2. Approves the proposal to revise Standing Order 17, as set out in Annex B of the Report of the Business Committee."
"29","NDM6048","NDM6048 - Government Debate","Jane Hutt",2016-06-21,2016-06-21,"To propose that the National Assembly for Wales agrees that: (a) its name should be changed to the ""Welsh Parliament"" at the earliest opportunity; and that(b) it should be known unofficially by that name until such a name change can be formalised.WITHDRAWN"
"30","NDM6049","NDM6049 - Assembly Debate","Elin Jones",2016-06-22,2016-06-22,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.3, elects:(i) Mike Hedges (Welsh Labour), Eluned Morgan (Welsh Labour), Jeremy Miles (Welsh Labour), Simon Thomas (Plaid Cymru), Adam Price (Plaid Cymru), Nick Ramsay (Welsh Conservatives) and Mark Reckless (United Kingdom Independence Party) as members of the Finance Committee; and(ii) Simon Thomas (Plaid Cymru) as interim Chair of the Finance Committee."
