X1,value,key,vote,date,urlnum,motion_no,amend,amended,title,proposed_by,tabled_dt,debate_dt,motion_text,party.x,constituency.x,region.x,party.y,constituency.y,region.y
9,Kirsty Williams,For,NDM6029 Plaid Cymru debate - Motion without amendment,2016-06-22,3611,NDM6029,FALSE,FALSE,NDM6029 - Assembly Debate,Simon Thomas,2016-06-15,2016-06-15,"To propose that the National Assembly for Wales:1. Notes the challenges to the health service in looking after an older population.2. Calls on the Welsh Government to:a) proceed with greater integration between health and social care; andb) increase the amount of GPs, with a focus on recruiting to rural and deprived communities.",Plaid Cymru,NA,Mid & West Wales,Liberal Democrats,Brecon & Radnorshire,Mid & West Wales
46,Kirsty Williams,For,NDM6032 Welsh Conservative debate – Motion without amendment,2016-06-22,3611,NDM6032,FALSE,FALSE,NDM6032 - Assembly Debate,Paul Davies,2016-06-15,2016-06-15,"To propose that the National Assembly for Wales:1. Recognises the role that local government plays in delivering public services to communities across Wales. 2. Notes with concern the uncertainty that the lack of clarity regarding local government reform is having on the delivery of effective services.3. Acknowledges that more has to be done to address voter apathy in Wales given that, in the 2012 local government elections, overall turnout in Wales was low, at an average of 38.9 per cent, which was a 4 per cent drop from the previous local election turnout in 2008.4. Calls on the Welsh Government to outline a provisional timetable for its planned reforms of Welsh local authorities, and to engage in a robust consultation process.",Conservative,Preseli Pembrokeshire,Mid & West Wales,Liberal Democrats,Brecon & Radnorshire,Mid & West Wales
111,Kirsty Williams,Against,NDM6030 United Kingdom Independence Party debate,2016-06-22,3611,NDM6030,FALSE,FALSE,NDM6030 - Assembly Debate,Neil Hamilton,2016-06-15,2016-06-15,"To propose that the National Assembly for Wales:Believes that Wales would be stronger, safer and more prosperous if it were to leave the European Union.",UKIP,NA,Mid & West Wales,Liberal Democrats,Brecon & Radnorshire,Mid & West Wales
145,Kirsty Williams,Against,NDM6052 Plaid Cymru debate - Motion without amendment,2016-06-29,3613,NDM6052,FALSE,FALSE,NDM6052 - Assembly Debate,Simon Thomas,2016-06-22,2016-06-22,"To propose that the National Assembly for Wales:Believes that the Wales Bill should make provision to enable the National Assembly for Wales to introduce the single transferable vote at all levels, except for elections to the European Parliament and House of Commons, to ensure fair representation for all political viewpoints.",Plaid Cymru,NA,Mid & West Wales,Liberal Democrats,Brecon & Radnorshire,Mid & West Wales
196,Kirsty Williams,Against,NDM6053 Plaid Cymru debate - Motion without amendment,2016-06-29,3613,NDM6053,FALSE,FALSE,NDM6053 - Assembly Debate,Simon Thomas,2016-06-22,2016-06-22,To propose that the National Assembly for Wales:Believes that:(a) the principles of open government should be maintained in all areas of the Welsh Government's responsibilities;(b) the Ministerial Code should be laid before and approved by the National Assembly for Wales; and that(c) an independent adjudicator should be appointed to report publicly on any alleged breaches of the Code.'Welsh Government Ministerial Code – May 2016',Plaid Cymru,NA,Mid & West Wales,Liberal Democrats,Brecon & Radnorshire,Mid & West Wales
235,Kirsty Williams,Against,NDM6058 United Kingdom Independence Party Debate- Motion without amendment,2016-07-06,3615,NDM6058,FALSE,FALSE,NDM6058 - Assembly Debate,Neil Hamilton,2016-06-29,2016-06-29,"To propose that the National Assembly for Wales:Believes that following Brexit, Tata Steel in Port Talbot has a better chance of survival.",UKIP,NA,Mid & West Wales,Liberal Democrats,Brecon & Radnorshire,Mid & West Wales
382,Kirsty Williams,Against,NDM6085: Plaid Cymru debate on the motion without amendment,2016-09-14,3989,NDM6085,FALSE,FALSE,NDM6085 - Assembly Debate,Simon Thomas,2016-09-07,2016-09-07,"To propose that the National Assembly for Wales:Calls on the Welsh Government to prioritise:(a) protecting Wales from the immediate fallout of Brexit; and(b) closing the prosperity gap between Wales and the rest of the United Kingdom by:(i) creating a Wales development agency for the 21st century which will sell Wales, our products and ideas to the world in order to grow Welsh businesses and boost our exports; (ii) establishing a national infrastructure commission for Wales to plan, fund and deliver our nation's transport, telecommunications, energy and green infrastructure; and(iii) increasing levels of procurement for businesses based in Wales.",Plaid Cymru,NA,Mid & West Wales,Liberal Democrats,Brecon & Radnorshire,Mid & West Wales
437,Kirsty Williams,Against,NDM6087: UKIP Debate on the motion without amendment,2016-09-14,3989,NDM6087,FALSE,FALSE,NDM6087 - Assembly Debate,Neil Hamilton,2016-09-07,2016-09-07,"To propose that the National Assembly for Wales:1. Believes that Brexit gives Wales a great opportunity to boost trade, industry and employment.2. Welcomes the freedom Brexit provides to create a tailor-made policy for Welsh agriculture and fishing.3. Calls on the Welsh Government to work closely in a positive frame of mind to capitalise on these opportunities and to involve all parties in the Assembly in its negotiations with the UK Government to maximise the potential benefits for Wales.",UKIP,NA,Mid & West Wales,Liberal Democrats,Brecon & Radnorshire,Mid & West Wales
494,Kirsty Williams,Against,NDM6095 - Plaid Cymru -motion without amendment,2016-09-21,3991,NDM6095,FALSE,FALSE,NDM6095 - Assembly Debate,Simon Thomas,2016-09-14,2016-09-14,"To propose that the National Assembly for Wales:1. Notes that it is three years since the publication of Professor Sioned Davies's report, that recommended the removal of 'Welsh second language' and establishing one Welsh language learning continuum in its place.2. Notes that the First Minister's letter of December 2015 states his opinion that the concept of ""Welsh as a second language"" creates an artificial difference, and we are not of the view that it offers a useful basis for making policies for the future.3. Notes the importance of the education system in order to reach the Welsh Government's target of one million Welsh speakers.4. Regrets the decision of Qualifications Wales to keep the Welsh second language qualification for an unspecified time and therefore in order to ensure that no pupil is deprived of the skills to use the Welsh language, calls on the Welsh Government to:(a) outline a clear timetable for replacing the Welsh second language qualification with one new Welsh qualification for every pupil by 2018, which would mean examining the new qualification for the first time in 2020;  (b) adopt a strategy for targeting extra resources for teaching Welsh to trainee teachers, serving teachers, classroom assistants and other teaching practitioners;  and(c) invest substantially, and seriously plan, through a series of innovative initiatives, in order to quickly increase the number of education practitioners who teach through the medium of Welsh.'One Language for all: Review of Welsh second language in Key Stages 3 and 4''Letter from the First Minister, 4 December 2015' (Welsh only)",Plaid Cymru,NA,Mid & West Wales,Liberal Democrats,Brecon & Radnorshire,Mid & West Wales
526,Kirsty Williams,Against,NDM6096 - Plaid Cymru debate - motion without amendment,2016-09-21,3991,NDM6096,FALSE,FALSE,NDM6096 - Assembly Debate,Simon Thomas,2016-09-14,2016-09-14,To propose that the National Assembly for Wales:Notes the importance of full membership of the European single market to the Welsh economy.,Plaid Cymru,NA,Mid & West Wales,Liberal Democrats,Brecon & Radnorshire,Mid & West Wales
