X1,value,key,vote,date,urlnum,motion_no,amend,amended,title,proposed_by,tabled_dt,debate_dt,motion_text,party.x,constituency.x,region.x,party.y,constituency.y,region.y
9203,Llyr Gruffydd,For,NDM6816 - Motion without amendment,2018-10-03,5354,NDM6816,FALSE,FALSE,NDM6816 - Opposition Debate,Rhun ap Iorwerth,2018-09-26,2018-10-03,To propose that the National Assembly for Wales:,Plaid Cymru,Ynys Mon,North Wales,Plaid Cymru,NA,North Wales
9204,Dai Lloyd,For,NDM6816 - Motion without amendment,2018-10-03,5354,NDM6816,FALSE,FALSE,NDM6816 - Opposition Debate,Rhun ap Iorwerth,2018-09-26,2018-10-03,To propose that the National Assembly for Wales:,Plaid Cymru,Ynys Mon,North Wales,Plaid Cymru,NA,South Wales West
9205,Adam Price,For,NDM6816 - Motion without amendment,2018-10-03,5354,NDM6816,FALSE,FALSE,NDM6816 - Opposition Debate,Rhun ap Iorwerth,2018-09-26,2018-10-03,To propose that the National Assembly for Wales:,Plaid Cymru,Ynys Mon,North Wales,Plaid Cymru,Carmarthen East & Dinefwr,Mid & West Wales
9206,Neil McEvoy,For,NDM6816 - Motion without amendment,2018-10-03,5354,NDM6816,FALSE,FALSE,NDM6816 - Opposition Debate,Rhun ap Iorwerth,2018-09-26,2018-10-03,To propose that the National Assembly for Wales:,Plaid Cymru,Ynys Mon,North Wales,Independent,NA,South Wales Central
9207,Leanne Wood,For,NDM6816 - Motion without amendment,2018-10-03,5354,NDM6816,FALSE,FALSE,NDM6816 - Opposition Debate,Rhun ap Iorwerth,2018-09-26,2018-10-03,To propose that the National Assembly for Wales:,Plaid Cymru,Ynys Mon,North Wales,Plaid Cymru,Rhondda,South Wales Central
9208,David Rees,Against,NDM6816 - Motion without amendment,2018-10-03,5354,NDM6816,FALSE,FALSE,NDM6816 - Opposition Debate,Rhun ap Iorwerth,2018-09-26,2018-10-03,To propose that the National Assembly for Wales:,Plaid Cymru,Ynys Mon,North Wales,Labour,Aberavon,South Wales West
9209,Vaughan Gething,Against,NDM6816 - Motion without amendment,2018-10-03,5354,NDM6816,FALSE,FALSE,NDM6816 - Opposition Debate,Rhun ap Iorwerth,2018-09-26,2018-10-03,To propose that the National Assembly for Wales:,Plaid Cymru,Ynys Mon,North Wales,Labour,Cardiff South & Penarth,South Wales Central
9210,Jayne Bryant,Against,NDM6816 - Motion without amendment,2018-10-03,5354,NDM6816,FALSE,FALSE,NDM6816 - Opposition Debate,Rhun ap Iorwerth,2018-09-26,2018-10-03,To propose that the National Assembly for Wales:,Plaid Cymru,Ynys Mon,North Wales,Labour,Newport West,South Wales East
9211,Ken Skates,Against,NDM6816 - Motion without amendment,2018-10-03,5354,NDM6816,FALSE,FALSE,NDM6816 - Opposition Debate,Rhun ap Iorwerth,2018-09-26,2018-10-03,To propose that the National Assembly for Wales:,Plaid Cymru,Ynys Mon,North Wales,Labour,Clwyd South,North Wales
9212,Mark Drakeford,Against,NDM6816 - Motion without amendment,2018-10-03,5354,NDM6816,FALSE,FALSE,NDM6816 - Opposition Debate,Rhun ap Iorwerth,2018-09-26,2018-10-03,To propose that the National Assembly for Wales:,Plaid Cymru,Ynys Mon,North Wales,Labour,Cardiff West,South Wales Central
9213,Lee Waters,Against,NDM6816 - Motion without amendment,2018-10-03,5354,NDM6816,FALSE,FALSE,NDM6816 - Opposition Debate,Rhun ap Iorwerth,2018-09-26,2018-10-03,To propose that the National Assembly for Wales:,Plaid Cymru,Ynys Mon,North Wales,Labour,Llanelli,Mid & West Wales
9214,Hefin David,Against,NDM6816 - Motion without amendment,2018-10-03,5354,NDM6816,FALSE,FALSE,NDM6816 - Opposition Debate,Rhun ap Iorwerth,2018-09-26,2018-10-03,To propose that the National Assembly for Wales:,Plaid Cymru,Ynys Mon,North Wales,Labour,Caerphilly,South Wales East
9215,Janet Finch-Saunders,Against,NDM6816 - Motion without amendment,2018-10-03,5354,NDM6816,FALSE,FALSE,NDM6816 - Opposition Debate,Rhun ap Iorwerth,2018-09-26,2018-10-03,To propose that the National Assembly for Wales:,Plaid Cymru,Ynys Mon,North Wales,Conservative,Aberconwy,North Wales
9216,Mark Isherwood,Against,NDM6816 - Motion without amendment,2018-10-03,5354,NDM6816,FALSE,FALSE,NDM6816 - Opposition Debate,Rhun ap Iorwerth,2018-09-26,2018-10-03,To propose that the National Assembly for Wales:,Plaid Cymru,Ynys Mon,North Wales,Conservative,NA,North Wales
9217,Carwyn Jones,Against,NDM6816 - Motion without amendment,2018-10-03,5354,NDM6816,FALSE,FALSE,NDM6816 - Opposition Debate,Rhun ap Iorwerth,2018-09-26,2018-10-03,To propose that the National Assembly for Wales:,Plaid Cymru,Ynys Mon,North Wales,Labour,Bridgend,South Wales West
9218,Mike Hedges,Against,NDM6816 - Motion without amendment,2018-10-03,5354,NDM6816,FALSE,FALSE,NDM6816 - Opposition Debate,Rhun ap Iorwerth,2018-09-26,2018-10-03,To propose that the National Assembly for Wales:,Plaid Cymru,Ynys Mon,North Wales,Labour,Swansea East,South Wales West
9219,John Griffiths,Against,NDM6816 - Motion without amendment,2018-10-03,5354,NDM6816,FALSE,FALSE,NDM6816 - Opposition Debate,Rhun ap Iorwerth,2018-09-26,2018-10-03,To propose that the National Assembly for Wales:,Plaid Cymru,Ynys Mon,North Wales,Labour,Newport East,South Wales East
9220,Vikki Howells,Against,NDM6816 - Motion without amendment,2018-10-03,5354,NDM6816,FALSE,FALSE,NDM6816 - Opposition Debate,Rhun ap Iorwerth,2018-09-26,2018-10-03,To propose that the National Assembly for Wales:,Plaid Cymru,Ynys Mon,North Wales,Labour,Cynon Valley,South Wales Central
9221,Hannah Blythyn,Against,NDM6816 - Motion without amendment,2018-10-03,5354,NDM6816,FALSE,FALSE,NDM6816 - Opposition Debate,Rhun ap Iorwerth,2018-09-26,2018-10-03,To propose that the National Assembly for Wales:,Plaid Cymru,Ynys Mon,North Wales,Labour,Delyn,North Wales
9222,Paul Davies,Against,NDM6816 - Motion without amendment,2018-10-03,5354,NDM6816,FALSE,FALSE,NDM6816 - Opposition Debate,Rhun ap Iorwerth,2018-09-26,2018-10-03,To propose that the National Assembly for Wales:,Plaid Cymru,Ynys Mon,North Wales,Conservative,Preseli Pembrokeshire,Mid & West Wales
9223,Mark Reckless,Against,NDM6816 - Motion without amendment,2018-10-03,5354,NDM6816,FALSE,FALSE,NDM6816 - Opposition Debate,Rhun ap Iorwerth,2018-09-26,2018-10-03,To propose that the National Assembly for Wales:,Plaid Cymru,Ynys Mon,North Wales,Independent,NA,South Wales East
9224,Jeremy Miles,Against,NDM6816 - Motion without amendment,2018-10-03,5354,NDM6816,FALSE,FALSE,NDM6816 - Opposition Debate,Rhun ap Iorwerth,2018-09-26,2018-10-03,To propose that the National Assembly for Wales:,Plaid Cymru,Ynys Mon,North Wales,Labour,Neath,South Wales West
